gbpusd	hangseng	jpm	ms	nasdaq	nikkei	nya	sp500	usdeur	usdjpy	vix
1.6184		80.19	99.0						124.52	
1.6108		80.19	95.81						124.12	
1.6013		78.94	94.88						123.9	
1.5954		75.87	90.75						123.81	
1.6015		73.81	89.06						122.72	
1.5967		75.38	93.62						121.88	
1.5967		72.75	93.94						121.91	
1.6013		72.38	96.5						120.85	
1.6082		72.12	91.75						120.64	
1.6095		71.06	88.25						120.84	
1.6044		71.62	88.0						121.53	
1.6064		74.31	91.0						121.85	
1.6033		76.75	94.06						121.05	
1.6036		74.88	91.25						120.06	
1.6003		73.81	91.5						118.99	
1.6036		73.12	88.38						118.9	
1.6095		73.25	86.75						118.1	
1.61		73.75	86.0						120.4	
1.5944		75.12	87.88						120.61	
1.5896		80.37	93.06						120.28	
1.5918		79.44	92.44						119.65	
1.5929		80.13	95.75						120.68	
1.5868		83.5	99.75						122.19	
1.5883		81.75	96.19						121.75	
1.5783		80.25	93.25						121.96	
1.581		80.0	91.31						122.18	
1.5886		81.19	91.75						121.47	
1.5818		82.62	94.5						121.19	
1.58		82.62	94.75						120.99	
1.5768		86.5	102.62						121.0	
1.5775		85.94	101.75						120.92	
1.5763		85.06	101.56						121.19	
1.5758									122.32	
1.5681		86.06	102.25						122.07	
1.5593		84.63	102.38						122.17	
1.5576		85.5	102.69						122.73	
1.5528		85.19	103.56						122.33	
1.5559		84.12	102.0						122.26	
1.5564		82.81	102.0						121.33	
1.5625		81.75	101.0						120.64	
1.5689		82.12	100.56						120.38	
1.5657		81.81	99.94						120.93	
1.561		82.12	99.69						119.18	
1.5711		80.88	97.31						119.25	
1.5738		81.31	96.81						118.34	
1.583		83.31	96.81						117.43	
1.5768		81.56	93.5						116.39	
1.5916		82.88	92.62						116.17	
1.5878		83.75	96.38						116.46	
1.5896		82.94	96.06						116.2	
1.6124		80.25	93.0						115.16	
1.6202		77.06	90.25						114.7	
1.6145		78.25	88.56						114.6	
1.6158		78.81	87.44						115.07	
1.6231		78.44	86.69						114.29	
1.6186		78.63	86.69						113.9	
1.6168		75.75	82.12						114.48	
1.6041		75.63	82.44						115.4	
1.6132		74.31	83.31						114.55	
1.61		76.94	86.5						115.3	
1.6093		75.69	88.12						115.67	
1.6054		79.12	91.69						115.93	
1.6033		80.25	91.06						114.74	
1.5997		83.0	95.81						114.27	
1.6049		85.0	95.0						112.12	
1.6184		82.44	93.81						111.45	
1.6171		83.75	94.75						111.38	
1.6113		85.69	96.25						111.75	
1.5974		86.56	96.31						111.57	
1.5886		85.5	97.62						110.9	
1.5863		84.0	95.88						111.63	
1.5878		83.13	92.62						111.69	
		81.44	87.56							
1.6082		83.69	85.81						109.64	
1.6041		82.72	89.5						109.35	
1.6111		80.75	88.81						109.04	
1.6044		85.0	93.75						110.2	
1.6038									109.73	
1.6064		81.38	93.5						110.82	
1.6197		81.75	92.62						110.98	
1.6297		77.5	91.5						108.52	
1.6234		77.44	92.56						108.64	
1.6093		77.69	90.75						106.21	
1.6067		77.37	89.44						105.37	
1.6124		77.44	86.88						104.31	
1.6236		78.0	87.12						104.77	
1.6231		77.56	91.44						106.89	
1.6213		78.44	91.38						106.83	
1.6308		75.94	88.81						104.44	
1.638		76.38	89.56						103.74	
1.6391		75.25	86.38						104.03	
1.642		75.38	87.88						104.03	
1.6447		74.13	88.5						106.24	
1.6499		73.81	88.94						106.22	
1.6437		73.0	87.44						106.63	
1.6466		75.38	89.19						106.46	
1.6551		74.06	88.81						105.08	
1.6543		77.31	93.94						106.4	
1.6532		75.63	94.5						107.02	
1.6565		75.94	97.38						107.52	
1.6529		74.56	95.62						107.62	
1.6534		75.56	95.25						107.39	
1.6521		73.81	94.94						106.73	
1.654		73.25	94.19						106.29	
1.6529		71.19	92.38						107.42	
1.657		70.94	91.88						106.98	
1.67		66.5	88.12						105.62	
1.6692		68.31	90.38						105.08	
1.6694		71.13	92.38						105.62	
1.6672		75.81	94.94						105.91	
1.6759		77.62	97.38						106.03	
1.6633		80.62	102.88						105.84	
1.6628		77.94	100.5						105.23	
1.6537		77.81	98.38						104.94	
1.6472		82.75	104.19						104.16	
1.6399		88.56	113.69						104.81	
1.6407		87.25	110.31						104.38	
1.6423		83.56	110.62						104.44	
1.6469		83.69	110.12						104.1	
1.6442		82.44	108.88						105.04	
1.6391		84.12	113.19						104.55	
1.6239		86.25	115.81						106.32	
1.6171		84.38	114.0						105.84	
1.6218		83.06	110.56						105.08	
1.6258		80.56	110.19						104.68	
1.6223		81.12	112.31						104.9	
1.6139		85.0	120.0						105.16	
1.6202		82.56	121.06						104.95	
1.6181		86.0	127.25						105.96	
1.6252		81.87	121.44						105.54	
1.6171		83.37	124.12						105.73	
1.6171		83.0	124.38						106.16	
1.621		81.87	122.81						104.77	
1.626		79.94	120.5						104.14	
1.6129		79.56	118.62						104.58	
1.6152									104.34	
1.6057		79.06	118.0						102.11	
1.6013		76.94	117.0						101.93	
1.5926		77.25	120.62						102.05	
1.5972		77.39	119.94						102.26	
1.599		79.06	121.81						102.64	
1.6018		82.0	128.19						102.41	
1.6176		78.87	127.88						103.22	
1.6239		78.63	131.62						102.49	
1.6255		77.72	132.44						103.15	
1.6239		77.88	132.88						102.81	
1.6228		78.94	134.5						102.31	
1.6234		78.53	131.69						103.17	
1.6147		76.56	127.06						103.63	
1.6072		75.5	126.36						103.52	
1.6126		75.0	125.0						102.97	
1.609		72.75	128.06						103.32	
1.6046		72.25	130.33						102.77	
1.6103		75.0	128.88						102.08	
1.6067		74.88	129.88						102.58	
1.6158		77.5	131.5						101.8	
1.6179									102.87	
		76.5	131.62							
		76.44	134.25							
1.6171		77.56	138.94						102.03	
1.6121		78.06	141.25						102.36	
		77.69	142.75							
	28.66	72.87	135.0	4131.0		6762.1099	1455.22			24.21
1.6352	17072.8008	70.88	125.0	3902.0	19002.8594	6543.7598	1399.42		102.98	27.01
1.639	25.15	70.44	120.44	3878.0	18542.5508	0.0	1402.11		103.87	26.41
1.6478	15153.2002	71.44	122.75	3727.0	18168.2695	6635.4399	1403.45		105.26	25.73
1.6372	15405.5996	72.75	126.56	3883.0	18193.4102	6792.6699	1441.47		105.45	21.72
1.6377	15848.2002	71.5	130.62	4050.0	0.0	6838.4502	1457.6		105.37	21.71
1.6469	15862.0996	69.81	130.62	3921.0	18850.9199	6774.48	1438.5601		105.77	22.5
1.6462	15714.2002	70.25	131.62	3850.0	18677.4199	6766.5498	1432.25		105.83	22.84
1.6491	15634.0	71.31	132.44	3957.0	18833.2891	6836.7598	1449.6801		106.21	21.71
1.6349	15542.2002	73.88	137.31	4064.0	18956.5508	0.0	1465.15		106.05	19.66
1.6315					19437.2305				104.78	
1.6376	15789.2002	71.0	133.75	4131.0	19196.5703	0.0	1455.14		105.5	21.5
1.6403	15275.2998	74.13	135.69	4151.0	18897.75	0.0	1455.9		105.75	21.72
1.6492	15215.2998	74.06	134.81	4190.0	19008.0098	6772.5801	1445.5699		105.53	21.75
1.6506	15108.4004	72.94	132.5	4235.0	18878.0898	0.0	1441.36		104.86	20.82
1.6521	15167.5	73.0	128.0	4096.0	19056.7109	6611.1201	1401.53		105.55	24.07
1.6499	15103.0	74.62	129.44	4167.0	18895.5293	0.0	1410.03		105.84	23.02
1.6405	15427.7002	78.44	132.88	4070.0	19111.1895	6644.8501	1404.09		105.89	23.03
1.6373	15917.7998	80.69	67.56	4040.0	19209.7207	0.0	1398.5601		105.0	23.54
1.6198	22.08	76.69	63.31	3887.0	19434.7793	6469.1099	1360.16		105.68	26.14
